id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response,Age_Group,Alto_Riesgo
206,male,21,1,30.0,0,< 1 year,yes,26720.0,160.0,64,0,20-30 años,1
208,female,21,1,6.0,0,< 1 year,yes,19196.0,152.0,40,0,20-30 años,1
210,male,26,1,37.0,0,< 1 year,yes,57159.0,160.0,163,0,20-30 años,1
212,male,45,1,28.0,0,1-2 year,yes,33205.0,26.0,243,0,41-50 años,1
213,male,44,1,28.0,0,> 2 years,yes,42754.0,124.0,23,1,41-50 años,1
217,female,60,1,28.0,0,> 2 years,yes,65472.0,26.0,36,0,51-60 años,1
218,female,21,1,46.0,0,< 1 year,yes,33245.0,152.0,259,0,20-30 años,1
219,male,22,1,15.0,0,< 1 year,yes,32252.0,160.0,100,0,20-30 años,1
222,male,40,1,20.0,0,1-2 year,yes,2630.0,26.0,204,0,31-40 años,1
224,female,61,1,28.0,0,> 2 years,yes,2630.0,157.0,190,1,60+ años,1
225,male,75,1,28.0,0,> 2 years,yes,40765.0,124.0,162,0,60+ años,1
231,male,42,1,31.0,0,1-2 year,yes,2630.0,124.0,181,0,41-50 años,1
232,male,24,1,47.0,0,< 1 year,yes,36414.0,124.0,292,0,20-30 años,1
233,male,53,1,0.0,0,1-2 year,yes,2630.0,26.0,69,0,51-60 años,1
236,male,23,1,39.0,0,< 1 year,yes,29575.0,152.0,281,1,20-30 años,1
237,female,48,1,33.0,0,1-2 year,yes,44724.0,154.0,132,0,41-50 años,1
240,female,63,1,28.0,0,> 2 years,yes,31004.0,26.0,281,0,60+ años,1
243,female,36,1,28.0,0,1-2 year,yes,40431.0,124.0,230,0,31-40 años,1
244,male,49,1,28.0,0,1-2 year,yes,45558.0,26.0,49,0,41-50 años,1
246,female,21,1,11.0,0,< 1 year,yes,35555.0,152.0,242,1,20-30 años,1
247,female,57,1,46.0,0,1-2 year,yes,30777.0,26.0,158,0,51-60 años,1
248,female,43,1,28.0,0,1-2 year,yes,29578.0,31.0,203,1,41-50 años,1
253,female,20,1,34.0,0,< 1 year,yes,33247.0,160.0,281,0,20-30 años,1
256,female,57,1,28.0,0,> 2 years,yes,2630.0,26.0,71,0,51-60 años,1
258,female,24,1,46.0,0,< 1 year,yes,27141.0,152.0,246,0,20-30 años,1
261,male,54,1,28.0,0,1-2 year,yes,34367.0,124.0,237,1,51-60 años,1
265,male,24,1,28.0,0,< 1 year,yes,21583.0,152.0,143,0,20-30 años,1
267,male,48,1,28.0,0,1-2 year,yes,42028.0,26.0,77,0,41-50 años,1
269,female,27,1,50.0,0,< 1 year,yes,2630.0,160.0,83,0,20-30 años,1
271,male,62,1,8.0,0,1-2 year,yes,47272.0,26.0,194,0,60+ años,1
272,male,45,1,28.0,0,1-2 year,yes,42704.0,26.0,116,0,41-50 años,1
273,female,60,1,6.0,0,1-2 year,yes,2630.0,157.0,143,0,51-60 años,1
275,female,38,1,10.0,0,1-2 year,yes,37039.0,124.0,103,0,31-40 años,1
276,female,52,1,31.0,0,1-2 year,yes,2630.0,26.0,127,0,51-60 años,1
277,female,36,1,15.0,0,1-2 year,yes,2630.0,26.0,69,1,31-40 años,1
278,male,55,1,28.0,0,> 2 years,yes,41246.0,26.0,285,0,51-60 años,1
279,female,20,1,35.0,0,< 1 year,yes,34281.0,160.0,214,0,20-30 años,1
282,female,54,1,41.0,0,1-2 year,yes,53581.0,124.0,199,1,51-60 años,1
284,male,40,1,48.0,0,> 2 years,yes,2630.0,26.0,86,0,31-40 años,1
285,male,36,1,28.0,0,1-2 year,yes,34165.0,124.0,143,0,31-40 años,1
286,male,42,1,15.0,0,1-2 year,yes,28883.0,26.0,66,0,41-50 años,1
288,male,39,1,28.0,0,1-2 year,yes,32807.0,157.0,186,0,31-40 años,1
289,male,26,1,10.0,0,< 1 year,yes,24115.0,152.0,69,0,20-30 años,1
290,male,64,1,8.0,0,1-2 year,yes,2630.0,124.0,293,0,60+ años,1
293,female,43,1,3.0,0,1-2 year,yes,31020.0,26.0,59,1,41-50 años,1
296,female,26,1,16.0,0,< 1 year,yes,32232.0,152.0,238,0,20-30 años,1
297,female,22,1,46.0,0,< 1 year,yes,31180.0,152.0,120,0,20-30 años,1
298,male,60,1,8.0,0,1-2 year,yes,2630.0,124.0,21,0,51-60 años,1
299,female,49,1,31.0,0,1-2 year,yes,2630.0,124.0,32,1,41-50 años,1
302,male,67,1,28.0,0,1-2 year,yes,32653.0,124.0,171,0,60+ años,1
303,female,35,1,28.0,0,1-2 year,yes,41662.0,150.0,223,0,31-40 años,1
309,male,71,1,28.0,0,1-2 year,yes,42881.0,124.0,105,0,60+ años,1
311,female,45,1,28.0,0,> 2 years,yes,73929.0,157.0,86,0,41-50 años,1
312,female,59,1,39.0,0,1-2 year,yes,44630.0,124.0,200,0,51-60 años,1
315,male,42,1,8.0,0,1-2 year,yes,35600.0,124.0,213,0,41-50 años,1
316,male,20,1,12.0,0,< 1 year,yes,82705.0,160.0,49,0,20-30 años,1
319,male,59,1,41.0,0,1-2 year,yes,2630.0,156.0,88,0,51-60 años,1
321,female,40,1,29.0,0,1-2 year,yes,2630.0,157.0,77,0,31-40 años,1
323,female,22,1,28.0,0,< 1 year,yes,48276.0,152.0,290,0,20-30 años,1
324,female,35,1,28.0,0,1-2 year,yes,41029.0,125.0,94,0,31-40 años,1
329,male,39,1,28.0,0,1-2 year,yes,38036.0,157.0,10,0,31-40 años,1
330,female,52,1,45.0,0,1-2 year,yes,23918.0,26.0,265,0,51-60 años,1
332,male,69,1,28.0,0,1-2 year,yes,30727.0,122.0,47,0,60+ años,1
334,male,44,1,28.0,0,1-2 year,yes,30427.0,124.0,237,1,41-50 años,1
339,male,36,1,8.0,0,1-2 year,yes,30941.0,26.0,249,0,31-40 años,1
340,female,69,1,28.0,0,1-2 year,yes,32400.0,26.0,189,1,60+ años,1
341,male,27,1,15.0,0,< 1 year,yes,33845.0,152.0,260,0,20-30 años,1
343,female,49,1,28.0,0,1-2 year,yes,48505.0,124.0,271,0,41-50 años,1
346,male,42,1,38.0,0,1-2 year,yes,34193.0,156.0,116,1,41-50 años,1
347,male,22,1,37.0,0,< 1 year,yes,38240.0,152.0,221,1,20-30 años,1
348,female,42,1,28.0,0,1-2 year,yes,39977.0,124.0,276,0,41-50 años,1
349,female,31,1,28.0,0,1-2 year,yes,39423.0,124.0,190,0,31-40 años,1
351,male,46,1,29.0,0,1-2 year,yes,28946.0,124.0,64,0,41-50 años,1
355,male,57,1,28.0,0,1-2 year,yes,19618.0,122.0,96,1,51-60 años,1
358,female,22,1,36.0,0,< 1 year,yes,2630.0,152.0,211,0,20-30 años,1
359,male,43,1,28.0,0,1-2 year,yes,39495.0,124.0,172,1,41-50 años,1
360,male,54,1,15.0,0,1-2 year,yes,35116.0,124.0,171,1,51-60 años,1
361,male,44,1,28.0,0,1-2 year,yes,39450.0,124.0,214,0,41-50 años,1
363,female,50,1,28.0,0,1-2 year,yes,68147.0,30.0,218,0,41-50 años,1
365,female,44,1,41.0,0,1-2 year,yes,30875.0,124.0,173,0,41-50 años,1
367,male,31,1,24.0,0,1-2 year,yes,2630.0,156.0,257,0,31-40 años,1
368,female,20,1,12.0,0,< 1 year,yes,2630.0,160.0,203,0,20-30 años,1
371,male,59,1,49.0,0,1-2 year,yes,39971.0,124.0,143,0,51-60 años,1
373,male,45,1,28.0,0,> 2 years,yes,49145.0,122.0,222,1,41-50 años,1
375,female,38,1,29.0,0,1-2 year,yes,47639.0,122.0,169,0,31-40 años,1
376,male,38,1,28.0,0,1-2 year,yes,65212.0,124.0,32,0,31-40 años,1
382,male,66,1,31.0,0,> 2 years,yes,2630.0,26.0,90,0,60+ años,1
383,female,55,1,28.0,0,> 2 years,yes,49146.0,26.0,190,1,51-60 años,1
384,female,24,1,8.0,0,< 1 year,yes,54408.0,152.0,86,0,20-30 años,1
389,female,44,1,28.0,0,1-2 year,yes,45485.0,122.0,245,0,41-50 años,1
390,male,21,1,13.0,0,< 1 year,yes,28733.0,152.0,70,0,20-30 años,1
391,male,20,1,46.0,0,< 1 year,yes,49211.0,160.0,284,0,20-30 años,1
393,female,25,1,37.0,0,< 1 year,yes,2630.0,152.0,249,0,20-30 años,1
395,male,50,1,31.0,0,1-2 year,yes,2630.0,124.0,237,0,41-50 años,1
397,male,31,1,28.0,0,< 1 year,yes,32883.0,26.0,132,0,31-40 años,1
399,female,47,1,15.0,0,1-2 year,yes,2630.0,14.0,166,0,41-50 años,1
400,male,59,1,28.0,0,1-2 year,yes,44233.0,124.0,160,1,51-60 años,1
401,male,23,1,47.0,0,< 1 year,yes,25080.0,152.0,277,1,20-30 años,1
402,male,65,1,28.0,0,1-2 year,yes,90789.0,26.0,186,1,60+ años,1
403,female,27,1,33.0,0,< 1 year,yes,2630.0,152.0,125,0,20-30 años,1
404,male,49,1,28.0,0,1-2 year,yes,37214.0,26.0,158,1,41-50 años,1
405,male,51,1,28.0,0,1-2 year,yes,37690.0,26.0,34,0,51-60 años,1
406,female,66,1,47.0,0,1-2 year,yes,34757.0,26.0,92,0,60+ años,1
410,male,47,1,28.0,0,> 2 years,yes,33145.0,124.0,237,0,41-50 años,1
411,male,28,1,6.0,0,1-2 year,yes,31181.0,124.0,282,0,20-30 años,1
412,female,25,1,40.0,0,< 1 year,yes,39361.0,152.0,104,0,20-30 años,1
413,female,51,1,28.0,0,> 2 years,yes,33632.0,124.0,137,0,51-60 años,1
416,female,24,1,43.0,0,< 1 year,yes,29981.0,152.0,185,0,20-30 años,1
417,male,41,1,21.0,0,1-2 year,yes,29440.0,157.0,87,1,41-50 años,1
418,male,29,1,46.0,0,< 1 year,yes,2630.0,152.0,118,0,20-30 años,1
423,female,36,1,46.0,0,< 1 year,yes,2630.0,1.0,94,0,31-40 años,1
424,female,37,1,28.0,0,1-2 year,yes,20267.0,152.0,88,0,31-40 años,1
426,female,24,1,13.0,0,< 1 year,yes,2630.0,151.0,19,0,20-30 años,1
429,female,21,1,34.0,0,1-2 year,yes,36314.0,163.0,86,1,20-30 años,1
430,female,44,1,28.0,0,1-2 year,yes,119735.0,152.0,295,0,41-50 años,1
431,male,48,1,8.0,0,1-2 year,yes,42100.0,124.0,247,1,41-50 años,1
432,male,42,1,11.0,0,1-2 year,yes,40473.0,124.0,46,0,41-50 años,1
433,female,45,1,28.0,0,1-2 year,yes,27616.0,26.0,134,0,41-50 años,1
436,male,64,1,28.0,0,1-2 year,yes,42417.0,60.0,116,0,60+ años,1
437,male,29,1,8.0,0,< 1 year,yes,42992.0,124.0,241,0,20-30 años,1
440,female,49,1,8.0,0,1-2 year,yes,38022.0,124.0,197,0,41-50 años,1
441,male,53,1,39.0,0,1-2 year,yes,2630.0,157.0,83,0,51-60 años,1
442,female,67,1,29.0,0,1-2 year,yes,43753.0,124.0,30,1,60+ años,1
443,male,54,1,33.0,0,1-2 year,yes,39396.0,124.0,295,0,51-60 años,1
446,female,39,1,28.0,0,1-2 year,yes,33016.0,124.0,74,0,31-40 años,1
447,male,54,1,35.0,0,1-2 year,yes,26629.0,26.0,113,1,51-60 años,1
448,female,24,1,32.0,0,< 1 year,yes,2630.0,152.0,107,0,20-30 años,1
451,female,23,1,37.0,0,< 1 year,yes,21214.0,152.0,126,1,20-30 años,1
452,female,23,1,21.0,0,< 1 year,yes,24388.0,152.0,270,0,20-30 años,1
454,male,63,1,28.0,0,1-2 year,yes,44879.0,124.0,85,0,60+ años,1
455,female,27,1,10.0,0,< 1 year,yes,24453.0,152.0,152,0,20-30 años,1
456,male,49,1,8.0,0,1-2 year,yes,41648.0,124.0,98,0,41-50 años,1
457,male,29,1,28.0,0,< 1 year,yes,40186.0,160.0,227,0,20-30 años,1
458,male,46,1,33.0,0,1-2 year,yes,30866.0,124.0,77,0,41-50 años,1
461,female,30,1,49.0,0,< 1 year,yes,27967.0,152.0,270,0,20-30 años,1
462,male,52,1,28.0,0,1-2 year,yes,46090.0,124.0,217,1,51-60 años,1
464,male,70,1,28.0,0,> 2 years,yes,51565.0,122.0,115,0,60+ años,1
465,male,24,1,2.0,0,< 1 year,yes,26707.0,152.0,224,0,20-30 años,1
466,male,42,1,33.0,0,> 2 years,yes,35187.0,124.0,107,0,41-50 años,1
467,male,70,1,8.0,0,1-2 year,yes,46177.0,26.0,249,0,60+ años,1
468,female,22,1,46.0,0,< 1 year,yes,26118.0,152.0,46,0,20-30 años,1
471,female,74,1,28.0,0,> 2 years,yes,30128.0,26.0,164,1,60+ años,1
472,female,22,1,43.0,0,1-2 year,yes,42589.0,157.0,236,0,20-30 años,1
473,female,66,1,28.0,0,1-2 year,yes,30967.0,26.0,64,0,60+ años,1
474,female,24,1,8.0,0,< 1 year,yes,42636.0,152.0,155,0,20-30 años,1
475,male,40,1,28.0,0,1-2 year,yes,37142.0,124.0,286,0,31-40 años,1
477,female,23,1,27.0,0,< 1 year,yes,27827.0,151.0,19,0,20-30 años,1
478,male,45,1,46.0,0,1-2 year,yes,37726.0,26.0,186,0,41-50 años,1
480,male,30,1,28.0,0,< 1 year,yes,51429.0,121.0,119,1,20-30 años,1
481,male,73,1,29.0,0,> 2 years,yes,104002.0,3.0,132,0,60+ años,1
484,female,44,1,28.0,0,1-2 year,yes,52593.0,26.0,30,1,41-50 años,1
485,female,36,1,8.0,0,1-2 year,yes,63198.0,26.0,244,1,31-40 años,1
487,male,79,1,45.0,0,1-2 year,yes,21882.0,124.0,78,0,60+ años,1
490,female,39,1,28.0,0,1-2 year,yes,45387.0,154.0,59,1,31-40 años,1
491,female,62,1,28.0,0,1-2 year,yes,31026.0,124.0,105,0,60+ años,1
492,male,43,1,18.0,0,1-2 year,yes,39225.0,124.0,268,0,41-50 años,1
493,male,29,1,37.0,0,1-2 year,yes,2630.0,154.0,66,0,20-30 años,1
496,male,20,1,8.0,0,< 1 year,yes,40115.0,160.0,292,0,20-30 años,1
497,male,22,1,35.0,0,< 1 year,yes,30083.0,152.0,84,0,20-30 años,1
498,male,56,1,28.0,0,1-2 year,yes,32018.0,26.0,183,0,51-60 años,1
501,male,23,1,21.0,0,< 1 year,yes,33870.0,152.0,258,0,20-30 años,1
504,female,51,1,28.0,0,1-2 year,yes,39214.0,26.0,15,0,51-60 años,1
506,male,37,1,28.0,0,1-2 year,yes,42207.0,124.0,135,1,31-40 años,1
507,female,25,1,28.0,0,< 1 year,yes,92716.0,152.0,247,0,20-30 años,1
513,female,38,1,45.0,0,1-2 year,yes,2630.0,156.0,253,0,31-40 años,1
515,female,22,1,37.0,0,< 1 year,yes,32093.0,152.0,113,1,20-30 años,1
516,female,70,1,28.0,0,1-2 year,yes,37783.0,139.0,102,0,60+ años,1
517,male,58,1,28.0,0,1-2 year,yes,41394.0,124.0,22,0,51-60 años,1
518,male,52,1,12.0,0,1-2 year,yes,29442.0,124.0,264,0,51-60 años,1
519,male,49,1,28.0,0,1-2 year,yes,31733.0,26.0,265,0,41-50 años,1
522,female,76,1,8.0,0,1-2 year,yes,38546.0,163.0,92,0,60+ años,1
523,female,22,1,3.0,0,< 1 year,yes,23309.0,160.0,202,0,20-30 años,1
526,female,25,1,47.0,0,< 1 year,yes,40374.0,152.0,246,0,20-30 años,1
529,female,48,1,27.0,0,1-2 year,yes,34900.0,124.0,153,0,41-50 años,1
530,male,38,1,48.0,0,1-2 year,yes,2630.0,124.0,67,0,31-40 años,1
539,male,41,1,28.0,0,1-2 year,yes,44898.0,124.0,154,0,41-50 años,1
540,male,45,1,28.0,0,1-2 year,yes,2630.0,26.0,204,1,41-50 años,1
541,male,47,1,31.0,0,1-2 year,yes,2630.0,124.0,80,0,41-50 años,1
542,male,51,1,41.0,0,> 2 years,yes,31443.0,12.0,82,0,51-60 años,1
543,female,24,1,15.0,0,< 1 year,yes,2630.0,152.0,48,0,20-30 años,1
544,male,57,1,28.0,0,1-2 year,yes,24552.0,26.0,122,1,51-60 años,1
547,male,38,1,28.0,0,1-2 year,yes,46272.0,124.0,203,1,31-40 años,1
548,female,48,1,28.0,0,1-2 year,yes,47104.0,26.0,166,0,41-50 años,1
555,male,39,1,38.0,0,1-2 year,yes,33149.0,124.0,20,0,31-40 años,1
558,female,51,1,33.0,0,1-2 year,yes,31243.0,152.0,39,1,51-60 años,1
560,female,42,1,8.0,0,> 2 years,yes,34393.0,124.0,209,0,41-50 años,1
563,male,50,1,28.0,0,> 2 years,yes,38269.0,29.0,244,0,41-50 años,1
564,male,69,0,33.0,0,1-2 year,yes,39730.0,26.0,53,0,60+ años,1
566,male,57,1,7.0,0,1-2 year,yes,2630.0,124.0,52,0,51-60 años,1
568,male,68,1,8.0,0,1-2 year,yes,112974.0,26.0,206,0,60+ años,1
569,male,40,1,4.0,0,1-2 year,yes,33466.0,124.0,120,1,31-40 años,1
570,male,37,1,30.0,0,1-2 year,yes,29934.0,26.0,141,0,31-40 años,1
572,female,21,1,47.0,0,< 1 year,yes,57982.0,160.0,89,0,20-30 años,1
573,female,46,1,28.0,0,1-2 year,yes,51568.0,11.0,216,0,41-50 años,1
574,male,55,1,28.0,0,1-2 year,yes,54115.0,55.0,114,0,51-60 años,1
575,male,79,1,29.0,0,1-2 year,yes,28777.0,26.0,220,0,60+ años,1
576,female,22,1,8.0,0,< 1 year,yes,35461.0,152.0,90,0,20-30 años,1
577,female,52,1,7.0,0,1-2 year,yes,2630.0,157.0,19,1,51-60 años,1
579,female,24,1,28.0,0,< 1 year,yes,31901.0,152.0,17,0,20-30 años,1
581,male,40,1,28.0,0,1-2 year,yes,34364.0,124.0,41,0,31-40 años,1
584,male,57,1,28.0,0,1-2 year,yes,31179.0,26.0,160,1,51-60 años,1
587,male,21,1,26.0,0,< 1 year,yes,25205.0,160.0,256,0,20-30 años,1
588,female,72,1,28.0,0,1-2 year,yes,61819.0,122.0,35,0,60+ años,1
589,female,25,1,6.0,0,< 1 year,yes,2630.0,152.0,288,0,20-30 años,1
591,male,24,1,45.0,0,< 1 year,yes,19848.0,152.0,115,0,20-30 años,1
596,male,66,1,14.0,0,1-2 year,yes,40223.0,124.0,200,0,60+ años,1
598,female,49,1,46.0,0,1-2 year,yes,25996.0,26.0,184,1,41-50 años,1
599,male,42,1,41.0,0,1-2 year,yes,35129.0,163.0,80,1,41-50 años,1
603,female,38,1,28.0,0,1-2 year,yes,26103.0,154.0,121,0,31-40 años,1
604,male,44,1,35.0,0,1-2 year,yes,2630.0,124.0,245,0,41-50 años,1
605,male,25,1,28.0,0,< 1 year,yes,60550.0,152.0,269,0,20-30 años,1
606,male,38,1,28.0,0,1-2 year,yes,52970.0,124.0,106,0,31-40 años,1
610,female,30,1,26.0,0,< 1 year,yes,2630.0,154.0,74,0,20-30 años,1
613,female,45,1,8.0,0,1-2 year,yes,2630.0,26.0,96,1,41-50 años,1
614,male,72,1,28.0,0,1-2 year,yes,45683.0,26.0,270,0,60+ años,1
617,male,46,1,28.0,0,> 2 years,yes,64819.0,124.0,82,1,41-50 años,1
619,male,46,1,28.0,0,> 2 years,yes,42534.0,124.0,168,0,41-50 años,1
620,female,41,1,28.0,0,1-2 year,yes,35524.0,124.0,13,1,41-50 años,1
621,male,73,1,46.0,0,1-2 year,yes,41623.0,26.0,146,0,60+ años,1
622,female,43,1,28.0,0,> 2 years,yes,37314.0,26.0,288,1,41-50 años,1
